,Names,Frequency of Occurrences
120,Van Helsing,294
78,Mina,226
59,Jonathan,193
68,Lord Godalming,64
91,Renfield,48
127,Whitby,43
90,Quincey Morris,22
39,Galatz,18
20,Catherine,17
69,Lucy Westenra,17
119,Turk,16
112,Szgany,13
10,Bersicker,9
79,Mina Murray,9
48,Hillingham,9
7,Arthur Holmwood,9
23,Count Dracula,9
75,Mary,8
14,Bukovina,8
58,John Seward,6
100,Sereth,6
24,Crescent,6
110,Swales,6
11,Bistritza,6
13,Buda-Pesth,6
61,Kettleness,5
38,Fundu,5
122,Veresti,5
64,Kukri,5
111,Szekelys,4
36,Esk,4
86,Peter Hawkins,4
104,Sister Agatha,4
93,Roumanian,4
108,Ste. Mary,3
35,Enoch,3
52,Jack Seward,3
25,Demeter,3
123,Vincent,3
115,Thor,3
41,Hampstead Heath,3
71,Magyars,3
19,Castle Dracula,3
99,Saxon,3
125,Wallach,3
92,Robin Hood,3
107,St. Joseph,3
98,Samuel F. Billington,2
80,"Mitchell, Sons, & Candy",2
94,Rufus Smith,2
74,Marquand,2
101,Shakespeare,2
56,John Paxton,2
97,Sam Bloxam,2
0,Abraham Van Helsing,2
114,Thomas Snelling,2
87,Petrof Skinsky,2
16,Carter Paterson,2
2,Andres,2
5,Arminius,2
30,Down,2
29,Doolittle,2
8,Attila,2
28,Donelson,2
21,Charcot,2
88,Poters Cort,1
89,Quatre,1
131,Yabblins,1
130,Wodin,1
129,Windham,1
128,Wilhelmina Murray,1
126,Whitaker,1
103,Simmons,1
124,Voivode Dracula,1
102,Shooter,1
121,Vanderpool,1
96,S. P. C. A.,1
118,Tom,1
117,Tokay,1
116,Tobolsk,1
113,Thomas Bilder,1
109,Strasba,1
106,Spohr,1
105,Soho,1
95,S. F. Billington,1
66,Lord Art,1
85,Patrick Hennessey,1
27,Disraeli,1
44,Hapsburgs,1
43,Hapgood,1
42,Hans Andersen,1
40,George Canon,1
37,Ferrier,1
34,Emma,1
33,Ellen Terry,1
32,Edward Spencelagh,1
31,Dun,1
26,Desdemona,1
46,Hermanstadt,1
22,Comin,1
18,Cassova,1
17,Casabianca,1
15,Byron,1
12,Braithwaite Lowrey,1
9,Avar,1
6,Arpad,1
4,Archibald,1
3,Andrew Woodhouse,1
45,Hardy,1
47,Herr Leutner,1
84,Ophelia,1
1,Acherontia Aitetropos,1
83,Odessus,1
82,Mulgrave Woods,1
81,Moldavia,1
77,Methuselah,1
76,Medusa,1
73,Marmion,1
72,Malvolio,1
70,Mackenzie & Steinkoff,1
67,Lord Arthur,1
65,Launceston,1
49,Honfoglalas,1
63,Korkrans,1
62,Kingstead,1
60,Judas,1
57,John Rawlings,1
55,Jamrach,1
54,Jack Smollet,1
53,Jack Sheppard,1
51,J. M. Caffyn,1
50,Immanuel Hildesheim,1
132,Zoöphagous,1
