,Proper Nouns,Frequency of Occurrences
3,Dorothy,366
20,Scarecrow,224
12,Lion,179
16,Oz,158
22,Tin Woodman,109
23,Toto,93
30,Wizard,37
28,Winkies,29
0,Aunt Em,22
2,Cowardly Lion,21
18,Queen,21
15,Munchkins,20
5,Glinda,18
24,Uncle Henry,12
6,Great Wizard,12
21,Stork,11
7,Guardian of the Gates,10
26,Wicked Witch of the West,10
17,Quadlings,10
31,green girl,8
9,Kalidahs,8
19,Quelala,8
25,Wicked Witch of the East,7
4,Gayelette,6
1,Boq,5
27,Wildcat,5
13,Monkey King,4
29,Witch of the North,4
8,Hammer-Heads,4
10,King Crow,3
14,Mr. Joker,3
32,tin man,2
11,King of the Winged Monkeys,1
